"Accident_Number","Event_Date","Location","Country","Latitude","Longitude","Airport_Code","Airport_Name","Injury_Severity","Aircraft_Damage","Registration_Number","Make","Model","Schedule","Air_Carrier","Total_Fatal_Injuries","Total_Serious_Injuries","Total_Uninjured","Weather_Condition","Broad_Phase_of_Flight"
"ATL00LA092","9/17/00","ATLANTA, GA","United States","","","","","Non-Fatal","","N853AS","Bombardier","CRJ-200","SCHD","(DBA: DELTA CONNECTION)","0","1","50","VMC","CRUISE"
"DCA08FA018","12/16/07","Providence, RI","United States","","","KPVD","Theodore F. Green State","Non-Fatal","Substantial","N470ZW","Bombardier","CL-600","SCHD","Air Wisconsin Airlines","0","0","34","IMC","LANDING"
"DCA10CA018","12/18/09","Dallas, TX","United States","32.896944","-97.038055","DFW","Dallas/Fort Worth Intl Airport","Non-Fatal","Substantial","N515AE","Bombardier","CL-600","SCHD","American Eagle","0","0","3","VMC","STANDING"
"ENG12IA004","10/23/11","Atlanta, GA","United States","","","ATL","Hartsfield-Jackson Atlanta Int","Incident","","N751EV","Bombardier","CL-600","SCHD","ATLANTIC SOUTHEAST AIRLINES INC","0","0","","","LANDING"
"DCA11CA084A","7/14/11","Boston, MA","United States","42.353333","-71.014444","BOS","GENERAL EDWARD LAWRENCE LOGAN","Non-Fatal","Substantial","N132EV","Bombardier","CL-600","SCHD","ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection)","0","0","291","VMC","STANDING"
"ATL02FA113","6/2/02","Atlanta, GA","United States","33.645277","-84.433056","ATL","Atlanta Hartsfield","Non-Fatal","Substantial","N849AS","Bombardier","CL-600","SCHD","Atlantic Southeast Airlines, Inc.","0","0","53","VMC","LANDING"
"DCA09FA033","2/28/09","Tallahassee, FL","United States","30.396389","-84.350278","TLH","Tallahassee Regional Airport","Non-Fatal","Substantial","N830AS","Bombardier","CRJ-200","SCHD","Atlantic Southeast Airlines, Inc.","0","0","2","","STANDING"
"CHI01LA066","1/8/01","Detroit, MI","United States","","","DTW","DETROIT METROPOLITAN WAYNE CO.","Non-Fatal","Substantial","N784CA","Bombardier","CL-600","SCHD","COMAIR INC","0","0","31","VMC","STANDING"
"NYC01IA072","1/3/01","Covington, KY","United States","","","","","Incident","Minor","N933CA","Bombardier","CL-600","SCHD","COMAIR INC","0","0","46","VMC","APPROACH"
"ENG14IA029","9/13/14","Hodeida, Yemen","Yemen","14.764444","42.981945","","N/A","Incident","Minor","7O-FAB","Bombardier","CRJ-700","SCHD","Felix Airways","0","0","","UNK","TAKEOFF"
"WPR13IA144","3/5/13","Danville, CA","United States","37.839444","-122.003333","SJC","Norman Y. Mineta San Jose Int","Incident","Minor","N417QX","Bombardier","DHC-8","SCHD","Horizon Air","0","0","51","VMC","CLIMB"
"WPR13LA431","9/29/13","Reno, NV","United States","39.498889","-119.768056","","N/A","Non-Fatal","","N449QX","Bombardier","DHC-8","SCHD","Horizon Air Industries Inc","0","1","58","VMC","APPROACH"
"SEA02IA044","3/1/02","Boise, ID","United States","","","","","Incident","","N410QX","Bombardier","DHC-8","SCHD","Horizon Airlines","0","0","73","VMC","CRUISE"
